x,time
2.000000,4881961115626.000000
2.000000,4882262518803.000000
2.000000,4882809298073.000000
2.000000,4883058418906.000000
2.000000,4883407692396.000000
2.000000,4885236382447.000000
2.000000,4885780923280.000000
2.000000,4886573323540.000000
2.000000,4886922182082.000000
2.000000,4888058837811.000000
2.000000,4888456948696.000000
2.000000,4889200242185.000000
2.000000,4889600939581.000000
2.000000,4890345276977.000000
2.000000,4890697650726.000000
2.000000,4891884593799.000000
2.000000,4892924885986.000000
2.000000,4893421195465.000000
2.000000,4893672890673.000000
2.000000,4894022092079.000000
2.000000,4894674241350.000000
2.000000,4895120249839.000000
2.000000,4895470686402.000000
2.000000,4895771746193.000000
2.000000,4896270763745.000000
2.000000,4896918609057.000000
2.000000,4897415005047.000000
2.000000,4897762222755.000000
2.000000,4898013502911.000000
2.000000,4898558061921.000000
2.000000,4899201675411.000000
2.000000,4899598932650.000000
2.000000,4900340858796.000000
2.000000,4900740819160.000000
2.000000,4901483296920.000000
2.000000,4901928920930.000000
2.000000,4903460599055.000000
2.000000,4903758680565.000000
2.000000,4904454160148.000000
2.000000,4904756194106.000000
2.000000,4906683060356.000000
2.000000,4907326507439.000000
2.000000,4907971009053.000000
2.000000,4908418622855.000000
2.000000,4908865026761.000000
2.000000,4910298913948.000000
2.000000,4910991566239.000000
2.000000,4911242425302.000000
2.000000,4911491477125.000000
2.000000,4911740514364.000000
2.000000,4912137588114.000000
2.000000,4913274658791.000000
2.000000,4913574018791.000000
2.000000,4913871876863.000000
2.000000,4914120637020.000000
2.000000,4914715275509.000000
2.000000,4915162050248.000000
2.000000,4915560695561.000000
2.000000,4916205400925.000000
2.000000,4920620687330.000000
2.000000,4921313493788.000000
2.000000,4921611209985.000000
2.000000,4921860422850.000000
2.000000,4922360452589.000000
2.000000,4922609608058.000000
2.000000,4922859545870.000000
2.000000,4923208711391.000000
2.000000,4923754609880.000000
2.000000,4924103998526.000000
2.000000,4925289747015.000000
2.000000,4926182347380.000000
2.000000,4926486182379.000000
2.000000,4926883509827.000000
2.000000,4928121586233.000000
2.000000,4929259177222.000000
2.000000,4929559105659.000000
2.000000,4930253997118.000000
2.000000,4930651333003.000000
2.000000,4931740785450.000000
2.000000,4933024771439.000000
2.000000,4933273892950.000000
2.000000,4934118079616.000000
2.000000,4936396886126.000000
2.000000,4936645730761.000000
2.000000,4936993528730.000000
2.000000,4937587396177.000000
2.000000,4938378442739.000000
2.000000,4938627282375.000000
2.000000,4939122443000.000000
2.000000,4939421211333.000000
2.000000,4939719872739.000000
2.000000,4940166551593.000000
2.000000,4940662268989.000000
2.000000,4941207258155.000000
2.000000,4941800828415.000000
2.000000,4942150880551.000000
2.000000,4942399658102.000000
2.000000,4942747632113.000000
2.000000,4943096023571.000000
2.000000,4944775893518.000000
2.000000,4945123590289.000000
2.000000,4945816076226.000000
2.000000,4946067523153.000000
2.000000,4946859351799.000000
